# producer	gap -q gap/generate-tomlib-scan.g
# gap_version	4.15.1
# tomlib_version	1.2.11
# semantics	exact relative to the complete subgroup-class and intersection data in each supplied TomLib table
table_name	group_order	subgroup_classes	maximal_classes	normal_classes	nonabelian_simple	solvable	chief_factor_orders	cmp	failed_maximal_classes
2^(1+4)+:3^2.2	576	127	7	13	false	true	2,3,3,4,4,2	true	none
2^(1+4)-.S5	3840	240	5	5	false	fail	not_computed	false	236
2^(1+4)-:A5	1920	86	4	4	false	fail	not_computed	false	84,83,79
2^(1+6)+.L3(2)	21504	2318	7	6	false	false	168,8,8,2	true	none
2^(1+6)-:3^(1+2)+:2A4	82944	510	4	8	false	fail	not_computed	false	508,505,486
2^(1+8)+:L2(8)	258048	3998	4	4	false	fail	not_computed	false	3995,3994,3959
2^(2+4):(3xD10)	1920	49	4	8	false	fail	not_computed	false	42
2^(2+4):(3xS3)	1152	88	4	8	false	fail	not_computed	false	76
2^(2+4):(S3xS3)	2304	268	6	12	false	fail	not_computed	false	245
2^(2+4):15	960	21	3	6	false	fail	not_computed	false	17
2^(3+3):7	448	14	2	4	false	fail	not_computed	false	12
2^(3+6):21	10752	214	3	6	false	fail	not_computed	false	201
2^(4+4):(3xA5)	46080	401	5	6	false	fail	not_computed	false	398,397,391
2^(5+5):31	31744	121	2	4	false	fail	not_computed	false	119
2^2.(2^4:A5)	3840	1043	7	7	false	fail	not_computed	false	1041,1040
2^2.(2^4S5)	7680	1089	6	6	false	fail	not_computed	false	1085
2^2.(3^2:2A4)	864	58	3	8	false	fail	not_computed	false	56
2^2.(3^2:2S4)	1728	133	4	9	false	fail	not_computed	false	130
2^2.(3^2:Q8)	288	92	4	31	false	fail	not_computed	false	91,90,89
2^2.(3^2:Q8.2)	576	117	4	20	false	fail	not_computed	false	114
2^2.(7:3xS3)	504	48	5	12	false	true	2,3,3,4,7	true	none
2^2.(L2(7)x2)	1344	251	6	12	false	false	2,2,2,168	true	none
2^2.L3(4)	80640	997	9	6	false	fail	not_computed	false	996,995,994,993,992,981,980,979,948
2^2.L3(4).2_2	161280	1059	6	5	false	fail	not_computed	false	1057,1056,1053,1047,1025
2^2.L3(4).3	241920	477	5	4	false	fail	not_computed	false	463,429
2^2.L3(4).3.2_2	483840	941	6	5	false	fail	not_computed	false	920
2^2.S6	2880	342	8	9	false	fail	not_computed	false	332,325,324
2^2.[2^6].(S3xS3)	9216	2254	7	18	false	fail	not_computed	false	2213
2^2.[2^8]:S3	6144	711	3	10	false	fail	not_computed	false	708
2^2xA6	1440	202	8	10	false	fail	not_computed	false	197,196,195,188,187
2^2xL2(7)	672	143	6	10	false	false	2,2,168	true	none
2^3.L3(2):2	2688	110	4	5	false	fail	not_computed	false	106
2^3.L3(2)`	1344	72	3	3	false	fail	not_computed	false	69
2^3:7:3	168	12	3	4	false	true	3,7,8	true	none
2^3:L3(2)	1344	95	5	3	false	false	168,8	true	none
2^3:L3(2)x2	2688	376	6	6	false	false	2,168,8	true	none
2^4.S6	11520	455	6	4	false	fail	not_computed	false	451,448,447
2^4:(3xA5)	2880	84	5	5	false	fail	not_computed	false	81,80
2^4:(3xA5).2	5760	199	6	6	false	fail	not_computed	false	193
2^4:(S3xS3)	576	128	6	11	false	true	2,2,3,3,16	true	none
2^4:A5	960	77	7	3	false	fail	not_computed	false	75,74
2^4:A5`	960	63	4	3	false	fail	not_computed	false	61,60
2^4:A6	5760	139	7	3	false	fail	not_computed	false	138,137,136,135,134
2^4:A7	40320	189	6	3	false	fail	not_computed	false	187,186,182
2^4:A8	322560	1766	7	3	false	fail	not_computed	false	1761,1759
2^4:S4	384	193	5	11	false	true	2,2,3,4,4,2	true	none
2^4:S5	1920	197	5	4	false	fail	not_computed	false	193
2^4:S5`	1920	129	6	4	false	fail	not_computed	false	125
2^4:S6	11520	498	8	4	false	fail	not_computed	false	494,491,490
2^4`A8	322560	1176	6	3	false	fail	not_computed	false	1172,1170
2^5:S5	3840	495	6	8	false	fail	not_computed	false	488
2^5:S5`	3840	953	7	9	false	fail	not_computed	false	946
2^5:S6	23040	1916	8	5	false	fail	not_computed	false	1912,1907,1906
2^6:(3xA5)	11520	489	5	6	false	fail	not_computed	false	486,485
2^6:(3xA5):2	23040	957	6	7	false	fail	not_computed	false	951
2^6:(7xL2(8))	225792	212	5	5	false	fail	not_computed	false	209,208
2^6:(L3(2)xS3)	64512	2156	6	7	false	false	2,3,168,64	true	none
2^6:3.S6	138240	2261	7	5	false	fail	not_computed	false	2257,2254,2253
2^6:3^3:S4	41472	1642	5	6	false	true	2,3,4,27,64	true	none
2^6:A8	1290240	15124	8	3	false	fail	not_computed	false	15120,15119
2^6:L3(2)	10752	1231	5	4	false	false	168,8,8	true	none
2^6:U4(2)	1658880	8602	6	3	false	fail	not_computed	false	8600,8599,8598,8597
