# producer	gap -q gap/generate-tomlib-scan.g
# gap_version	4.15.1
# tomlib_version	1.2.11
# semantics	exact relative to the complete subgroup-class and intersection data in each supplied TomLib table
table_name	group_order	subgroup_classes	maximal_classes	normal_classes	nonabelian_simple	solvable	chief_factor_orders	cmp	failed_maximal_classes
S4(4)	979200	496	7	2	true	fail	not_computed	false	495,494,493,492,491,490,472
S4(4).2	1958400	1001	8	3	false	fail	not_computed	false	999,998,995,994,963
S4(5)	4680000	307	8	2	true	fail	not_computed	false	306,305,304,301,267,260,246,241
S4xL3(2)	4032	312	6	8	false	false	2,3,4,168	true	none
S4xS3	144	70	6	13	false	true	2,2,3,3,4	true	none
S4xS4	576	274	7	17	false	true	2,2,3,3,4,4	true	none
S5	120	19	4	3	false	fail	not_computed	false	15
S5xS4	2880	467	8	13	false	fail	not_computed	false	448
S6	720	56	6	3	false	fail	not_computed	false	52,49,48
S6(2)	1451520	1369	8	2	true	fail	not_computed	false	1368,1367,1365,1361,1358,1357
S6x2	1440	194	8	7	false	fail	not_computed	false	187,180,179
S6xS3	4320	418	9	10	false	fail	not_computed	false	407,399,398
S6xS4	17280	1856	10	13	false	fail	not_computed	false	1837,1821,1820
S6xS5	86400	3182	11	10	false	fail	not_computed	false	3173,3172,3158,3157
S7	5040	96	5	3	false	fail	not_computed	false	90
S7x2	10080	345	7	7	false	fail	not_computed	false	333
S7xS3	30240	754	8	10	false	fail	not_computed	false	736
S7xS4	120960	3433	9	13	false	fail	not_computed	false	3392
S8	40320	296	7	3	false	fail	not_computed	false	292,290,282
S8x2	80640	1291	9	7	false	fail	not_computed	false	1282,1279,1262
S8xS3	241920	2749	10	10	false	fail	not_computed	false	2734,2731,2708
S9	362880	554	7	3	false	fail	not_computed	false	550,546,545,534,508
S9x2	725760	2436	9	7	false	fail	not_computed	false	2427,2418,2417,2392,2331
Sz(32)	32537600	132	4	2	true	fail	not_computed	false	131,122,116,98
Sz(8)	29120	22	4	2	true	fail	not_computed	false	21,18,15,13
Sz(8).3	87360	39	5	3	false	fail	not_computed	false	38,35,32,30
U3(11)	70915680	126	11	2	true	fail	not_computed	false	125,119,115,114,113,101,100,99,98,87,75
U3(3)	6048	36	4	2	true	fail	not_computed	false	35,34,32,31
U3(3).2	12096	100	5	3	false	fail	not_computed	false	98,97,93,92
U3(3):2x2	24192	385	7	7	false	fail	not_computed	false	380,379,371,370
U3(3)x2	12096	104	5	4	false	fail	not_computed	false	102,101,97,96
U3(4)	62400	34	4	2	true	fail	not_computed	false	33,31,29,22
U3(4).2	124800	80	5	3	false	fail	not_computed	false	78,75,71,61
U3(5)	126000	80	8	2	true	fail	not_computed	false	79,78,77,76,75,74,73,67
U3(5).2	252000	148	6	3	false	fail	not_computed	false	146,143,142,131,128
U3(5).3	378000	93	6	3	false	fail	not_computed	false	91,86,78,77,64
U3(5).S3	756000	244	7	4	false	fail	not_computed	false	240,229,213,212,187
U3(7)	5663616	95	5	2	true	fail	not_computed	false	94,89,82,80,71
U3(8)	5515776	252	7	2	true	fail	not_computed	false	251,248,236,235,234,232,122
U3(9)	42573600	127	5	2	true	fail	not_computed	false	126,121,113,109,100
U4(2)	25920	116	5	2	true	fail	not_computed	false	114,113,112,111
U4(2).2	51840	350	6	3	false	fail	not_computed	false	347,346,345,344
U4(3)	3265920	381	16	2	true	fail	not_computed	false	380,379,378,377,376,375,374,372,371,366,365,364,363,356,345,344
U4(3).2^2_133	13063680	1789	13	6	false	fail	not_computed	false	1784,1777,1768,1718,1669,1668,1667,1617
U4(3).2_1	6531840	983	13	3	false	fail	not_computed	false	981,980,979,973,970,966,965,940,915,914
U4(3).2_3	6531840	515	11	3	false	fail	not_computed	false	513,512,511,508,505,483,470,469,468,454
U5(2)	13685760	556	6	2	true	fail	not_computed	false	555,554,553,546,539,484
